,KIND_OF_CONDITION_ID,IS_RECORD_DELETED,NAME,EXTENSION_TABLE_NAME,RECORD_INSERTION_TIME,RECORD_INSERTION_USER,RECORD_LASTUPDATE_TIME,RECORD_LASTUPDATE_USER,COMMENT_DESCRIPTION,CATEGORY_NAME
76,4260,F,HGC Six Inch Proto Module Curing Cond,HGC_PRTO_MOD_ASMBLY_COND,2018-12-01 21:24:33,Umesh,2020-03-07 11:34:57,CMS_HGC_CORE_COND,HGC Six Inch Proto Module Curing Cond,CONFIGURATION
77,4280,F,HGC Six Inch Module Curing Cond,HGC_MOD_ASMBLY_COND,2018-12-01 21:24:37,Umesh,2020-03-07 11:34:57,CMS_HGC_CORE_COND,HGC Six Inch Module Curing Cond,CONFIGURATION
78,4300,F,HGC Sensor Defect Checks,HGC_SENSOR_DEFECT_CHKS,2018-12-03 05:06:05,Umesh,2022-04-06 06:43:10,CMS_HGC_CORE_COND,HGCAL Sensor Defect Checks,CONFIGURATION
79,17440,F,Si Module Baseplate Test Data,SI_MODULE_BASEPLATE,2022-09-14 05:39:08,Umesh,,,Si Module Baseplate Test Data,
80,17040,F,HD HGCROC RAM Retention Time,HGCROC_RAM_RETENTION,2022-06-25 04:39:05,Umesh,,,HD HGCROC RAM Retention Time,
81,17060,F,LD HGCROC RAM Retention Time,HGCROC_RAM_RETENTION,2022-06-25 04:39:05,Umesh,,,LD HGCROC RAM Retention Time,
82,17080,F,SiPM HGCROC RAM Retention Time,HGCROC_RAM_RETENTION,2022-06-25 04:39:05,Umesh,,,SiPM HGCROC RAM Retention Time,
83,17100,F,HD HGCROC DACB Conveyor Test,HGCROC_DACB_CONVEYOR_TEST,2022-06-25 05:11:06,Umesh,2022-06-25 05:16:37,CMS_HGC_CORE_COND,HD HGCROC_DACB_Conveyor_TEST,
84,17120,F,LD HGCROC DACB Conveyor Test,HGCROC_DACB_CONVEYOR_TEST,2022-06-25 05:11:06,Umesh,2022-06-29 00:48:51,CMS_HGC_CORE_COND,LD HGCROC_DACB_Conveyor_TEST,
85,17140,F,SiPM HGCROC DACB Conveyor Test,HGCROC_DACB_CONVEYOR_TEST,2022-06-25 05:11:07,Umesh,2022-06-29 00:48:55,CMS_HGC_CORE_COND,SiPM HGCROC_DACB_Conveyor_TEST,
86,4220,F,HGC Six Inch Proto Module Assembly,HGC_PRTO_MOD_ASMBLY,2018-12-01 19:38:58,Umesh,2020-03-07 11:34:58,CMS_HGC_CORE_COND,HGC Six Inch Proto Module Assembly,CONFIGURATION
